5169
483	1 21	1 24	1 28	1 31	-0.004705869682424322
484	1 21	1 24	1 11	1 14	-0.07356620882609068
485	1 21	1 24	1 14	1 17	-0.3980808175178609
486	1 21	1 24	1 17	1 20	-3.1800005482252645
487	1 21	1 24	1 23	1 26	-4.233337159788957
488	1 21	1 24	1 29	1 32	-0.0066165398612572784
489	1 21	1 24	1 15	1 18	-0.8098531967798328
490	1 21	1 24	1 18	1 27	1.0022441307350007
491	1 21	1 24	1 30	1 33	-0.008777741010532285
492	1 21	1 24	1 36	1 39	-0.0020001535880111326
493	1 21	1 24	1 31	1 34	-0.008185411139643824
494	1 21	1 24	1 46	1 49	0.055787785943919685
495	1 21	1 24	1 32	1 35	-0.006950299662800925
496	1 21	1 24	1 47	1 50	0.05278102067139422
497	1 21	1 24	1 50	1 53	-0.021436173655034495
498	1 21	1 24	1 48	1 51	0.04930228741697291
499	1 21	1 24	1 54	1 57	-0.022943078532319326
500	1 21	1 24	1 1	1 62	0.12961098715913644
501	1 21	1 24	1 71	1 2	-0.05854289569250356
502	1 21	1 24	1 72	1 3	-0.3933599475725833
503	1 22	1 25	1 19	1 2	2.2350802065834716
504	1 22	1 25	1 24	1 27	7.5762880655829115
505	1 22	1 25	1 27	1 30	-1.9440003409057183
